"date"	"target"	"forecasts"
"2020-08-01"	5241	8331
"2020-08-02"	5376	8352
"2020-08-03"	4824	8386
"2020-08-04"	6792	8435
"2020-08-05"	7147	8499
"2020-08-06"	7513	8576
"2020-08-07"	7482	8667
"2020-08-08"	6134	8770
"2020-08-09"	4688	8883
"2020-08-10"	7369	9005
"2020-08-11"	7043	9134
"2020-08-12"	7663	9268
"2020-08-13"	7498	9405
"2020-08-14"	6365	9543
"2020-08-15"	6663	9679
"2020-08-16"	5469	9812
"2020-08-17"	4557	9940
"2020-08-18"	6840	10060
"2020-08-19"	6693	10171
"2020-08-20"	8225	10272
"2020-08-21"	8159	10362
"2020-08-22"	7759	10439
"2020-08-23"	5352	10504
"2020-08-24"	8713	10557
"2020-08-25"	8771	10597
"2020-08-26"	10550	10626
"2020-08-27"	10104	10644
"2020-08-28"	11717	10653
"2020-08-29"	9230	10654
"2020-08-30"	7187	10649
"2020-08-31"	9309	10639
"2020-09-01"	10504	10628
"2020-09-02"	10933	10617
"2020-09-03"	12026	10607
"2020-09-04"	10684	10602
"2020-09-05"	9924	10604
"2020-09-06"	6986	10614
"2020-09-07"	9215	10634
"2020-09-08"	12027	10667
"2020-09-09"	12259	10712
"2020-09-10"	11905	10772
"2020-09-11"	11507	10847
"2020-09-12"	10776	10938
"2020-09-13"	9056	11044
"2020-09-14"	9909	11167
"2020-09-15"	11892	11305
"2020-09-16"	11674	11457
"2020-09-17"	12701	11623
"2020-09-18"	11945	11801
"2020-09-19"	9276	11989
"2020-09-20"	8431	12187
"2020-09-21"	8782	12391
"2020-09-22"	12027	12599
"2020-09-23"	12625	12810
"2020-09-24"	13467	13021
"2020-09-25"	12969	13229
"2020-09-26"	11249	13432
"2020-09-27"	8841	13628
"2020-09-28"	11807	13814
"2020-09-29"	13477	13988
"2020-09-30"	14392	14147
"2020-10-01"	14001	14291
"2020-10-02"	14687	14416
"2020-10-03"	11129	14522
"2020-10-04"	7668	14607
"2020-10-05"	11242	14670
"2020-10-06"	14740	14710
"2020-10-07"	16447	14726
"2020-10-08"	15454	14718
"2020-10-09"	15099	14686
"2020-10-10"	12414	14629
"2020-10-11"	10324	14548
"2020-10-12"	9524	14444
"2020-10-13"	13305	14317
"2020-10-14"	14932	14168
"2020-10-15"	17096	13999
"2020-10-16"	16546	13809
"2020-10-17"	13510	13602
"2020-10-18"	10561	13378
"2020-10-19"	12982	13138
"2020-10-20"	16337	12885
"2020-10-21"	18326	12620
"2020-10-22"	16325	12344
"2020-10-23"	15718	12061
"2020-10-24"	11968	11770
"2020-10-25"	9253	11475
"2020-10-26"	11712	11176
"2020-10-27"	14308	10875
"2020-10-28"	13924	10575
"2020-10-29"	13267	10275
"2020-10-30"	13379	9979
"2020-10-31"	9745	9687
"2020-11-01"	6609	9400
"2020-11-02"	9598	9120
"2020-11-03"	12145	8848
"2020-11-04"	10652	8584
"2020-11-05"	11100	8330
"2020-11-06"	11786	8087
"2020-11-07"	8037	7854
"2020-11-08"	5331	7633
"2020-11-09"	8317	7424
"2020-11-10"	11977	7228
"2020-11-11"	10880	7045
"2020-11-12"	11163	6875
"2020-11-13"	11859	6717
"2020-11-14"	8468	6574
"2020-11-15"	5645	6443
"2020-11-16"	7893	6326
"2020-11-17"	10621	6222
"2020-11-18"	10332	6130
"2020-11-19"	10097	6051
"2020-11-20"	9608	5984
"2020-11-21"	7140	5930
"2020-11-22"	4184	5886
"2020-11-23"	4265	5854
"2020-11-24"	7164	5832
"2020-11-25"	8593	5819
"2020-11-26"	9043	5817
"2020-11-27"	7846	5823
"2020-11-28"	6098	5837
"2020-11-29"	5432	5858
"2020-11-30"	5726	5887
"2020-12-01"	8037	5921
"2020-12-02"	7533	5962
"2020-12-03"	7629	6006
"2020-12-04"	6899	6056
"2020-12-05"	5201	6108
"2020-12-06"	3278	6163
"2020-12-07"	3199	6221
"2020-12-08"	3610	6280
"2020-12-09"	5303	6339
"2020-12-10"	6994	6399
"2020-12-11"	7112	6459
"2020-12-12"	5274	6517
"2020-12-13"	3558	6574
"2020-12-14"	5062	6629
"2020-12-15"	6981	6681
"2020-12-16"	6843	6730
"2020-12-17"	7326	6776
"2020-12-18"	7002	6817
"2020-12-19"	5795	6855
"2020-12-20"	4116	6888
"2020-12-21"	5853	6915
"2020-12-22"	8141	6938
"2020-12-23"	8586	6955
"2020-12-24"	0	6967
"2020-12-25"	10689	6973
"2020-12-26"	3713	6974
"2020-12-27"	5030	6968
"2020-12-28"	7216	6957
"2020-12-29"	11650	6939
"2020-12-30"	11765	6916
"2020-12-31"	11586	6888
"2021-01-01"	4080	6853
"2021-01-02"	5240	6813
"2021-01-03"	5884	6768
"2021-01-04"	8222	6718
"2021-01-05"	13790	6663
"2021-01-06"	13441	6604
"2021-01-07"	13835	6540
"2021-01-08"	13346	6472
"2021-01-09"	11057	6401
"2021-01-10"	7808	6326
"2021-01-11"	8704	6248
"2021-01-12"	13783	6168
"2021-01-13"	12725	6086
"2021-01-14"	13286	6001
"2021-01-15"	12332	5915
"2021-01-16"	8932	5828
"2021-01-17"	7264	5741
"2021-01-18"	8185	5653
"2021-01-19"	12141	5565
"2021-01-20"	12112	5478
"2021-01-21"	11396	5392
"2021-01-22"	10753	5307
"2021-01-23"	8362	5223
"2021-01-24"	5031	5142
"2021-01-25"	7578	5063
"2021-01-26"	10409	4987
"2021-01-27"	10843	4913
"2021-01-28"	9471	4843
"2021-01-29"	9838	4777
"2021-01-30"	6902	4715
"2021-01-31"	4975	4657
"2021-02-01"	6614	4603
"2021-02-02"	9695	4554
"2021-02-03"	9196	4510
"2021-02-04"	8891	4471
"2021-02-05"	8374	4438
"2021-02-06"	6680	4410
"2021-02-07"	3658	4388
"2021-02-08"	5154	4372
"2021-02-09"	7794	4362
"2021-02-10"	7739	4358
"2021-02-11"	7311	4361
"2021-02-12"	7151	4370
"2021-02-13"	6057	4385
"2021-02-14"	4245	4408
"2021-02-15"	3259	4436
"2021-02-16"	4003	4472
"2021-02-17"	6064	4515
"2021-02-18"	7671	4564
"2021-02-19"	7886	4620
"2021-02-20"	5944	4683
"2021-02-21"	3709	4754
"2021-02-22"	5417	4831
"2021-02-23"	7477	4915
"2021-02-24"	8183	5006
"2021-02-25"	8234	5103
"2021-02-26"	5083	5208
"2021-02-27"	5469	5320
"2021-02-28"	3168	5438
"2021-03-01"	4658	5563
"2021-03-02"	6653	5695
"2021-03-03"	7855	5834
"2021-03-04"	7432	5979
"2021-03-05"	7891	6130
"2021-03-06"	4860	6288
"2021-03-07"	2922	6453
"2021-03-08"	5058	6624
"2021-03-09"	7307	6800
"2021-03-10"	7693	6983
"2021-03-11"	8204	7172
"2021-03-12"	7849	7367
"2021-03-13"	6278	7567
"2021-03-14"	3697	7773
"2021-03-15"	6164	7985
"2021-03-16"	8235	8202
"2021-03-17"	8304	8424
"2021-03-18"	8328	8651
"2021-03-19"	8160	8883
"2021-03-20"	6826	9120
"2021-03-21"	4032	9361
"2021-03-22"	6401	9607
"2021-03-23"	9405	9857
"2021-03-24"	8300	10111
"2021-03-25"	8238	10369
"2021-03-26"	12936	10630
"2021-03-27"	10338	10895
"2021-03-28"	7208	11163
"2021-03-29"	14014	11434
"2021-03-30"	10154	11708
"2021-03-31"	16056	11984
"2021-04-01"	14430	12263
"2021-04-02"	9902	12544
"2021-04-03"	10384	12827
"2021-04-04"	9955	13111
"2021-04-05"	13667	13396
"2021-04-06"	20870	13683
"2021-04-07"	22039	13970
"2021-04-08"	23683	14258
"2021-04-09"	24130	14547
"2021-04-10"	19419	14835
"2021-04-11"	15262	15123
"2021-04-12"	19437	15410
"2021-04-13"	27001	15697
"2021-04-14"	25157	15982
"2021-04-15"	24999	16266
"2021-04-16"	29472	16548
"2021-04-17"	19119	16828
"2021-04-18"	16267	17106
"2021-04-19"	20461	17381
"2021-04-20"	29145	17653
"2021-04-21"	25932	17921
"2021-04-22"	27216	18187
"2021-04-23"	27884	18448
"2021-04-24"	21220	18705
"2021-04-25"	15012	18958
"2021-04-26"	18793	19206
"2021-04-27"	25495	19449
"2021-04-28"	23718	19686
"2021-04-29"	26053	19918
"2021-04-30"	22420	20144
"2021-05-01"	16502	20364
"2021-05-02"	11394	20577
"2021-05-03"	15920	20784
"2021-05-04"	26238	20983
"2021-05-05"	24079	21175
"2021-05-06"	24086	21359
"2021-05-07"	22552	21536
"2021-05-08"	18024	21704
"2021-05-09"	11582	21865
"2021-05-10"	17381	22016
"2021-05-11"	25976	22159
"2021-05-12"	24475	22293
"2021-05-13"	26531	22417
"2021-05-14"	27363	22532
"2021-05-15"	21469	22638
"2021-05-16"	16350	22733
"2021-05-17"	28680	22819
"2021-05-18"	35543	22894
"2021-05-19"	39652	22959
"2021-05-20"	35884	23014
"2021-05-21"	35468	23058
"2021-05-22"	32171	23092
"2021-05-23"	24801	23115
"2021-05-24"	22651	23127
"2021-05-25"	24601	23128
"2021-05-26"	35399	23118
"2021-05-27"	41080	23097
"2021-05-28"	39207	23065
"2021-05-29"	29841	23022
"2021-05-30"	21346	22968
"2021-05-31"	28175	22903
"2021-06-01"	35355	22827
"2021-06-02"	35017	22740
"2021-06-03"	32291	22642
"2021-06-04"	30950	22533
"2021-06-05"	23627	22414
"2021-06-06"	16415	22284
"2021-06-07"	22195	22144
"2021-06-08"	31137	21993
"2021-06-09"	29757	21832
"2021-06-10"	27628	21662
"2021-06-11"	26934	21481
"2021-06-12"	18057	21291
"2021-06-13"	13043	21092
"2021-06-14"	21292	20883
"2021-06-15"	27260	20666
"2021-06-16"	25878	20440
"2021-06-17"	23780	20206
"2021-06-18"	20363	19964
"2021-06-19"	15631	19714
"2021-06-20"	10395	19457
"2021-06-21"	8606	19192
"2021-06-22"	21387	18921
"2021-06-23"	27319	18644
"2021-06-24"	24463	18361
"2021-06-25"	24023	18072
"2021-06-26"	18555	17778
"2021-06-27"	12105	17479
"2021-06-28"	18389	17175
"2021-06-29"	24065	16868
"2021-06-30"	22673	16556
"2021-07-01"	21177	16241
"2021-07-02"	20888	15924
"2021-07-03"	14034	15603
"2021-07-04"	9e+03	15281
"2021-07-05"	17277	14957
"2021-07-06"	21590	14631
"2021-07-07"	19423	14305
"2021-07-08"	19256	13977
"2021-07-09"	14518	13650
"2021-07-10"	11561	13323
"2021-07-11"	8850	12996
"2021-07-12"	14989	12670
"2021-07-13"	20023	12345
"2021-07-14"	19697	12021
"2021-07-15"	17295	11700
"2021-07-16"	17261	11381
"2021-07-17"	12230	11064
"2021-07-18"	6935	10750
"2021-07-19"	12764	10438
"2021-07-20"	15077	10131
"2021-07-21"	14632	9826
"2021-07-22"	13500	9526
"2021-07-23"	15622	9229
"2021-07-24"	11136	8937
"2021-07-25"	7506	8650
"2021-07-26"	12555	8366
"2021-07-27"	16757	8088
"2021-07-28"	15883	7815
"2021-07-29"	14115	7546
"2021-07-30"	13483	7283
"2021-07-31"	10356	7026
"2021-08-01"	6083	6773
"2021-08-02"	11183	6527
"2021-08-03"	14850	6286
"2021-08-04"	NA	6050
"2021-08-05"	NA	5821
"2021-08-06"	NA	5597
"2021-08-07"	NA	5379
"2021-08-08"	NA	5166
"2021-08-09"	NA	4960
"2021-08-10"	NA	4759
"2021-08-11"	NA	4564
"2021-08-12"	NA	4375
"2021-08-13"	NA	4192
"2021-08-14"	NA	4014
"2021-08-15"	NA	3842
"2021-08-16"	NA	3675
"2021-08-17"	NA	3514
"2021-08-18"	NA	3359
"2021-08-19"	NA	3208
"2021-08-20"	NA	3063
"2021-08-21"	NA	2923
"2021-08-22"	NA	2789
"2021-08-23"	NA	2659
"2021-08-24"	NA	2534
"2021-08-25"	NA	2414
"2021-08-26"	NA	2298
"2021-08-27"	NA	2187
"2021-08-28"	NA	2080
"2021-08-29"	NA	1978
"2021-08-30"	NA	1880
"2021-08-31"	NA	1786
"2021-09-01"	NA	1696
"2021-09-02"	NA	1610
"2021-09-03"	NA	1527
"2021-09-04"	NA	1448
"2021-09-05"	NA	1373
"2021-09-06"	NA	1301
"2021-09-07"	NA	1232
"2021-09-08"	NA	1166
"2021-09-09"	NA	1104
"2021-09-10"	NA	1044
"2021-09-11"	NA	987
"2021-09-12"	NA	933
"2021-09-13"	NA	881
"2021-09-14"	NA	832
"2021-09-15"	NA	786
"2021-09-16"	NA	741
"2021-09-17"	NA	699
"2021-09-18"	NA	659
"2021-09-19"	NA	621
"2021-09-20"	NA	585
"2021-09-21"	NA	551
"2021-09-22"	NA	519
"2021-09-23"	NA	488
"2021-09-24"	NA	459
"2021-09-25"	NA	431
"2021-09-26"	NA	405
"2021-09-27"	NA	381
"2021-09-28"	NA	357
"2021-09-29"	NA	336
"2021-09-30"	NA	315
"2021-10-01"	NA	295
"2021-10-02"	NA	277
"2021-10-03"	NA	259
"2021-10-04"	NA	243
"2021-10-05"	NA	227
"2021-10-06"	NA	213
"2021-10-07"	NA	199
"2021-10-08"	NA	186
"2021-10-09"	NA	174
"2021-10-10"	NA	162
"2021-10-11"	NA	152
"2021-10-12"	NA	142
"2021-10-13"	NA	132
"2021-10-14"	NA	123
"2021-10-15"	NA	115
"2021-10-16"	NA	107
"2021-10-17"	NA	100
"2021-10-18"	NA	93
"2021-10-19"	NA	86
"2021-10-20"	NA	80
"2021-10-21"	NA	75
"2021-10-22"	NA	69
"2021-10-23"	NA	64
"2021-10-24"	NA	60
"2021-10-25"	NA	55
"2021-10-26"	NA	51
"2021-10-27"	NA	48
"2021-10-28"	NA	44
"2021-10-29"	NA	41
"2021-10-30"	NA	38
"2021-10-31"	NA	35
"2021-11-01"	NA	32
"2021-11-02"	NA	30
"2021-11-03"	NA	28
"2021-11-04"	NA	26
"2021-11-05"	NA	24
"2021-11-06"	NA	22
"2021-11-07"	NA	20
"2021-11-08"	NA	18
"2021-11-09"	NA	17
"2021-11-10"	NA	16
"2021-11-11"	NA	14
"2021-11-12"	NA	13
"2021-11-13"	NA	12
"2021-11-14"	NA	11
"2021-11-15"	NA	10
"2021-11-16"	NA	9
"2021-11-17"	NA	9
"2021-11-18"	NA	8
"2021-11-19"	NA	7
"2021-11-20"	NA	7
"2021-11-21"	NA	6
"2021-11-22"	NA	6
"2021-11-23"	NA	5
"2021-11-24"	NA	5
"2021-11-25"	NA	4
"2021-11-26"	NA	4
"2021-11-27"	NA	4
"2021-11-28"	NA	3
"2021-11-29"	NA	3
"2021-11-30"	NA	3
"2021-12-01"	NA	2
"2021-12-02"	NA	2
"2021-12-03"	NA	2
"2021-12-04"	NA	2
"2021-12-05"	NA	2
"2021-12-06"	NA	2
"2021-12-07"	NA	1
"2021-12-08"	NA	1
"2021-12-09"	NA	1
"2021-12-10"	NA	1
"2021-12-11"	NA	1
"2021-12-12"	NA	1
"2021-12-13"	NA	1
"2021-12-14"	NA	1
"2021-12-15"	NA	1
"2021-12-16"	NA	1
"2021-12-17"	NA	1
"2021-12-18"	NA	0
